"","Time","n"
"975","2016-08-02",21
"976","2016-08-03",17
"977","2016-08-04",23
"978","2016-08-05",23
"979","2016-08-06",10
"980","2016-08-07",9
"981","2016-08-08",26
"982","2016-08-09",18
"983","2016-08-10",23
"984","2016-08-11",21
"985","2016-08-12",18
"986","2016-08-13",14
"987","2016-08-14",8
"988","2016-08-15",13
"989","2016-08-16",16
"990","2016-08-17",23
"991","2016-08-18",16
"992","2016-08-19",15
"993","2016-08-20",7
"994","2016-08-21",5
"995","2016-08-22",10
"996","2016-08-23",20
"997","2016-08-24",25
"998","2016-08-25",18
"999","2016-08-26",14
"1000","2016-08-27",9
"1001","2016-08-28",12
"1002","2016-08-29",18
"1003","2016-08-30",22
"1004","2016-08-31",19
"1005","2016-09-01",13
"1006","2016-09-02",27
"1007","2016-09-03",5
"1008","2016-09-04",8
"1009","2016-09-05",22
"1010","2016-09-06",14
"1011","2016-09-07",18
"1012","2016-09-08",21
"1013","2016-09-09",30
"1014","2016-09-10",16
"1015","2016-09-11",10
"1016","2016-09-12",17
"1017","2016-09-13",22
"1018","2016-09-14",17
"1019","2016-09-15",17
"1020","2016-09-16",24
"1021","2016-09-17",7
"1022","2016-09-18",13
"1023","2016-09-19",18
"1024","2016-09-20",21
"1025","2016-09-21",29
"1026","2016-09-22",24
"1027","2016-09-23",26
"1028","2016-09-24",10
"1029","2016-09-25",11
"1030","2016-09-26",25
"1031","2016-09-27",19
"1032","2016-09-28",23
"1033","2016-09-29",15
"1034","2016-09-30",16
"1035","2016-10-01",6
"1036","2016-10-02",9
"1037","2016-10-03",16
"1038","2016-10-04",18
"1039","2016-10-05",15
"1040","2016-10-06",12
"1041","2016-10-07",14
"1042","2016-10-08",11
"1043","2016-10-09",7
"1044","2016-10-10",27
"1045","2016-10-11",21
"1046","2016-10-12",14
"1047","2016-10-13",26
"1048","2016-10-14",20
"1049","2016-10-15",9
"1050","2016-10-16",8
"1051","2016-10-17",20
"1052","2016-10-18",20
"1053","2016-10-19",21
"1054","2016-10-20",17
"1055","2016-10-21",27
"1056","2016-10-22",10
"1057","2016-10-23",6
"1058","2016-10-24",13
"1059","2016-10-25",24
"1060","2016-10-26",16
"1061","2016-10-27",19
"1062","2016-10-28",15
"1063","2016-10-29",7
"1064","2016-10-30",8
"1065","2016-10-31",19
"1066","2016-11-01",20
"1067","2016-11-02",25
"1068","2016-11-03",16
"1069","2016-11-04",26
"1070","2016-11-05",14
"1071","2016-11-06",13
"1072","2016-11-07",19
"1073","2016-11-08",15
"1074","2016-11-09",20
"1075","2016-11-10",26
"1076","2016-11-11",34
"1077","2016-11-12",15
"1078","2016-11-13",14
"1079","2016-11-14",23
"1080","2016-11-15",28
"1081","2016-11-16",20
"1082","2016-11-17",23
"1083","2016-11-18",18
"1084","2016-11-19",10
"1085","2016-11-20",14
"1086","2016-11-21",32
"1087","2016-11-22",22
"1088","2016-11-23",23
"1089","2016-11-24",14
"1090","2016-11-25",21
"1091","2016-11-26",5
"1092","2016-11-27",11
"1093","2016-11-28",22
"1094","2016-11-29",27
"1095","2016-11-30",23
"1096","2016-12-01",22
"1097","2016-12-02",18
"1098","2016-12-03",11
"1099","2016-12-04",11
"1100","2016-12-05",23
"1101","2016-12-06",13
"1102","2016-12-07",12
"1103","2016-12-08",14
"1104","2016-12-09",17
"1105","2016-12-10",9
"1106","2016-12-11",8
"1107","2016-12-12",21
"1108","2016-12-13",22
"1109","2016-12-14",20
"1110","2016-12-15",19
"1111","2016-12-16",17
"1112","2016-12-17",5
"1113","2016-12-18",14
"1114","2016-12-19",16
"1115","2016-12-20",21
"1116","2016-12-21",20
"1117","2016-12-22",19
"1118","2016-12-23",22
"1119","2016-12-24",12
"1120","2016-12-25",7
"1121","2016-12-26",9
"1122","2016-12-27",6
"1123","2016-12-28",16
"1124","2016-12-29",11
"1125","2016-12-30",13
"1126","2016-12-31",10
"1127","2017-01-01",21
"1128","2017-01-02",8
"1129","2017-01-03",17
"1130","2017-01-04",15
"1131","2017-01-05",18
"1132","2017-01-06",24
"1133","2017-01-07",9
"1134","2017-01-08",11
"1135","2017-01-09",20
"1136","2017-01-10",25
"1137","2017-01-11",20
"1138","2017-01-12",15
"1139","2017-01-13",26
"1140","2017-01-14",7
"1141","2017-01-15",5
"1142","2017-01-16",11
"1143","2017-01-17",15
"1144","2017-01-18",15
"1145","2017-01-19",26
"1146","2017-01-20",18
"1147","2017-01-21",5
"1148","2017-01-22",14
"1149","2017-01-23",14
"1150","2017-01-24",19
